ARI,Arizona Diamondbacks,#Dbacks,#RattleOn,#A71930,
ATL,Atlanta Braves,#Braves,#ForTheA,#CE1141,
BAL,Baltimore Orioles,#Orioles,#Birdland,#DF4601,
BOS,Boston Red Sox,#RedSox,#DirtyWater,#BD3039,
CHC,Chicago Cubs,#Cubs,#CubTogether,#0E3386,
CWS,Chicago White Sox,#WhiteSox,#ChangetheGame,#27251F,
CIN,Cincinnati Reds,#Reds,#ATOBTTR,#C6011F,
CLE,Cleveland Indians,#Indians,#OurCLE,#0C2340,
COL,Colorado Rockies,#Rockies,#Colorado,#33006F,
DET,Detroit Tigers,#Tigers,#DetroitRoots,#0C2340,
MIA,Miami Marlins,#Marlins,#JuntosMiami,#00A3E0,
HOU,Houston Astros,#Astros,#ForTheH,#002D62,
KAN,Kansas City Royals,#Royals,#TogetherRoyal,#004687,
LAA,Los Angeles Angels,#Angels,#WeBelieve,#003263,
LAD,Los Angeles Dodgers,#Dodgers,#LA,#005A9C,
MIL,Milwaukee Brewers,#Brewers,#ThisIsMyCrew,#005A9C,
MIN,Minnesota Twins,#Twins,#MNTwins,#002B5C,
NYM,New York Mets,#Mets,#LGM,#002D72,
NYY,New York Yankees,#Yankees,#SquadUp,#3087,
OAK,Oakland Athletics,#Athletics,#RiseAndGrind,#3831,
PHI,Philadelphia Phillies,#Phillies,#RingTheBell,#E81828,
PIT,Pittsburgh Pirates,#Pirates,#LetsGoBucs,#27251F,
SD,San Diego Padres,#Padres,#HungryForMore,#2F241D,
SF,San Francisco Giants,#Giants,#ResilientSF,#FD5A1E,
SEA,Seattle Mariners,#Mariners,#SeaUsRise,#0C2C56,
STL,St. Louis Cardinals,#Cardinals,#STLFLY,#C41E3A,
TB,Tampa Bay Rays,#Rays,#RaysUp,#092C5C,
TEX,Texas Rangers,#Rangers,#StraightUpTX,#3278,
TOR,Toronto Blue Jays,#BlueJays,#WeAreBlueJays,#134A8E,
WAS,Washington Nationals,#Nationals,#NATITUDE,#AB0003,
